trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.3, 'e': 0.8021176388616299}",20,1,-53.6076304320203,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.8009153643346592}",20,0,-40.621332614637275,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.799714891867596}",20,0,-14.289106062180412,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
150,False,"{'a': 0.3, 'e': 0.7985162187593771}",20,0,-151.95708371577717,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
151,False,"{'a': 0.3, 'e': 0.7973193423129871}",20,10,-18.66799695319915,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.7961242598354538}",30,0,-59.67976834362075,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
153,False,"{'a': 0.3, 'e': 0.7949309686378409}",20,0,-65.89715118899802,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.3, 'e': 0.7937394660352427}",25,4,-165.51640145954613,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 4}",1
155,False,"{'a': 0.3, 'e': 0.7925497493467781}",20,0,-144.07316919390973,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
156,False,"{'a': 0.3, 'e': 0.7913618158955839}",25,14,-74.02944680279202,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
157,False,"{'a': 0.3, 'e': 0.7901756630088093}",25,19,7.852270960594824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.7889912880176096}",20,12,-11.755801249926797,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.7878086882571411}",20,0,-63.866953446440235,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
160,False,"{'a': 0.3, 'e': 0.7866278610665535}",20,6,-14.526584127046021,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.785448803788985}",30,6,-119.51348989330528,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 1}",1
162,False,"{'a': 0.3, 'e': 0.7842715137715565}",30,21,12.5141239935768,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
